languageTag,key,message,annotation
default,bloodGroupForm,"<!DOCTYPE html><html><body><form id=""Ava_Blood_Group_Form"" onsubmit=""return getBloodGroupDetails(),!1"" class=""Ava_Blood_Group_Form_cl""><center><h4 class=""Ava_h4"">Update Personal Information</h4><h2 class=""Ava_h1"">Please select blood group</h2></center><span style=""color:red"">*</span><label>  Blood Group:</label><br><select name=""Ava_BG"" id=""Ava_id1"" class=""Ava_BG_cl Ava_single_select"" required><option value="""">Select blood group</option>{0}</select><br><br><div class=""Ava_column1""><input type=""Submit"" class=""Ava_single_btn"" onsubmit=""return getBloodGroupDetails(),!1""></div><div class=""Ava_column1""><input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_bloodGroup"")'></div></form></body></html>",
default,bloodGroupFormHTML,"<html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_Blood_Group_Form"" onsubmit=""return getBloodGroupDetails(),!1"" class=""Ava_Blood_Group_Form_cl""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Please select blood group</h3><label class=""Ava_label"" for=""Country"">Blood Group<span style=""color:red"">*</span>:</label><select name=""Ava_BG"" id=""Ava_id1"" class=""Ava_BG_cl Ava_single_select Ava_dropdown Ava_FStyle"" required><option value="""">Select blood group</option>{0}</select><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" onsubmit=""return getBloodGroupDetails(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""Ava_single_btn"" onclick='cancelTransaction(""get_bloodGroup"")'>Cancel</button></div></form></div></body></html>",
default,bloodGroupFormV1,"<html><body class=""htmlform""><div class=""container""><form id=""Ava_Blood_Group_Form"" onsubmit=""return getBloodGroupDetails(),!1"" class=""Ava_Blood_Group_Form_cl""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Please select blood group</h3><label class=""Ava_label"" for=""Country"">Blood Group<span style=""color:red"">*</span>:</label><select name=""Ava_BG"" id=""Ava_id1"" class=""Ava_BG_cl Ava_single_select Ava_dropdown"" required><option value="""">Select blood group</option>{0}</select><div class=""d-flex""><button type=""submit"" id=""btnSubmit"" class=""btn Ava_btn"" onsubmit=""return getBloodGroupDetails(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class=""btn btn-danger Ava_single_btn"" onclick='cancelTransaction(""get_bloodGroup"")'>Cancel</button></div></form></div></body></html>",
default,closingOption.1,Main Menu,
default,closingOption.2,Exit,
default,closingOption.prompt1,You can choose Main Menu or Exit or Type your query in the box below.,
default,closingOption.prompt2,You can choose Main Menu or Exit or Type your query in the box below.,
default,closingOption.prompt3,You can choose Main Menu or Exit or Type your query in the box below.,
default,dateForm,"<!DOCTYPE html><html> <body> <form id=""Ava_date_form Ava_form"" class=""Ava_date_form_class"" onsubmit=""getDate(); return false ""> <center> <h4 class=""Ava_h4"">Update Personal Information</h4> <h2 class=""Ava_h1"">Update Gender</h2> </center> <label>Effective Date:</label> <br /> <input type=""date"" id=""Ava_myDate"" class=""Ava_myDate_class Ava_single_select"" required> <br> <br> <div class=""Ava_column1""> <input type=""Submit"" class=""Ava_single_btn"" value=""Submit"" onsubmit=""getDate(); return false""> </div> <div class=""Ava_column1""> <input type=""button"" value=""Cancel"" class=""Ava_single_btn"" onclick=""cancelTransaction('gender_effetiveDate');""> </div> </form> </body></html>",
default,dateFormHTML,"<!DOCTYPE html><html><body class=""htmlform""><div class=""Ava_container""><form id=""Ava_date_form "" class=""Ava_date_form_class"" onsubmit=""return getDate(),!1""><h2 class=""Ava_heading"">Update Personal Information</h2><h3 class=""Ava_subheading"">Update Date</h3><label class=""Ava_label"" for=""dateAcquiredLbl"">Effective Date<span style=""color:red"">*</span></label><input type=""date"" id=""Ava_myDate"" class=""Ava_myDate_class Ava_FStyle"" placeholder=""Select date"" required><div class=""Ava_dflex""><button type=""submit"" id=""btnSubmit"" class=""Ava_btn"" value=""Submit"" onsubmit=""return getDate(),!1"" style=""background-color:#fff;color:#991010"">Submit</button><button type=""button"" id=""btnCancel"" class="" Ava_single_btn"" onclick='cancelTransaction(""gender_effetiveDate"")'>Cancel</button></div></form></div></body></html>",
